MACD;EURUSD;0.4948453608247423;97; profit:160.8777037622176; maxLost:7.0; maxWon:6.0
MACD;NZDUSD;0.4827586206896552;116; profit:293.130840542816; maxLost:6.0; maxWon:7.0
MACD;USDJPY;0.4897959183673469;98; profit:145.5590635620228; maxLost:7.0; maxWon:5.0
MACD;AUDUSD;0.4489795918367347;98; profit:157.911787071134; maxLost:8.0; maxWon:3.0
MACD;USDCAD;0.4266666666666667;75; profit:9.49413805496; maxLost:4.0; maxWon:3.0
MACD;USDCHF;0.49107142857142855;112; profit:156.2869202219092; maxLost:6.0; maxWon:7.0
MACD;EURGBP;0.4153846153846154;65; profit:26.1423295066736; maxLost:5.0; maxWon:4.0
MACD;GBPCHF;0.41025641025641024;78; profit:8.1550083669476; maxLost:6.0; maxWon:4.0
Donchian;EURUSD;0.42758620689655175;145; profit:0.274278839912; maxLost:6.0; maxWon:5.0
Donchian;NZDUSD;0.5125;160; profit:243.673668998648; maxLost:8.0; maxWon:7.0
Donchian;USDJPY;0.40625;160; profit:-18.1591461735816; maxLost:7.0; maxWon:5.0
Donchian;AUDUSD;0.46808510638297873;141; profit:307.472716950808; maxLost:7.0; maxWon:8.0
Donchian;USDCAD;0.4369747899159664;119; profit:-49.2017705366388; maxLost:5.0; maxWon:4.0
Donchian;USDCHF;0.4857142857142857;140; profit:115.6908495068344; maxLost:6.0; maxWon:4.0
Donchian;EURGBP;0.4528301886792453;106; profit:68.286347808432; maxLost:7.0; maxWon:2.0
Donchian;GBPCHF;0.3597122302158273;139; profit:-98.1311828530992; maxLost:9.0; maxWon:5.0
Ichimoku;EURUSD;0.41732283464566927;127; profit:30.4251614331416; maxLost:6.0; maxWon:5.0
Ichimoku;NZDUSD;0.44370860927152317;151; profit:68.969891500754; maxLost:7.0; maxWon:6.0
Ichimoku;USDJPY;0.4647887323943662;142; profit:111.1000540365888; maxLost:15.0; maxWon:5.0
Ichimoku;AUDUSD;0.47770700636942676;157; profit:171.6240005411212; maxLost:5.0; maxWon:7.0
Ichimoku;USDCAD;0.3333333333333333;129; profit:-248.4919041756076; maxLost:7.0; maxWon:4.0
Ichimoku;USDCHF;0.4788732394366197;142; profit:174.4625969866104; maxLost:6.0; maxWon:6.0
Ichimoku;EURGBP;0.3680555555555556;144; profit:-133.413156197572; maxLost:12.0; maxWon:4.0
Ichimoku;GBPCHF;0.4827586206896552;145; profit:422.9701131229832; maxLost:6.0; maxWon:5.0
